Shargacucullia anceps
Shargacucullia barthae
Shargacucullia blattariae
Shargacucullia lychnitis
Shargacucullia prenanthis
Shargacucullia scrophulariae
Short-cloaked moth
Sideridis lampra
Sideridis reticulata
Simyra albovenosa
Simyra dentinosa
Simyra nervosa
Sitochroa palealis
Sitochroa verticalis
Smerinthus kindermannii
Sorhagenia lophyrella
Sorhagenia rhamniella
Spaelotis ravida
Sparganothis pilleriana
Spatalia argentina
Sphingonaepiopsis gorgoniades
Sphinx (genus)
Sphinx pinastri
Spiris striata
Spruce carpet
Spulerina simploniella
Standfussiana defessa
Standfussiana lucernea
Stegania trimaculata
Stenoecia dos
Stenolechia gemmella
Streyella anguinella
Stygioides colchica
Symmoca caliginella
Symmoca deprinsi
Symmoca salinata
Symmoca straminella
Symmoca vitiosella
Synaphe antennalis
Synaphe berytalis
Synaphe bombycalis
Synaphe moldavica
Synaphe morbidalis
Synaphe oculatalis
Synaphe punctalis
Syncopacma cinctella
Syncopacma polychromella
Syncopacma taeniolella
Syndemis musculana
Synopsia sociaria
Synoria antiquella
Syrianarpia mendicalis
Syricoris lacunana
Syringopais temperatella
Tabulaephorus parthicus
Taleporia tubulosa
Tarachephia hueberi
Teinoptera oliva
Teinoptera olivina
Teleiodes luculella
Teleiodes vulgella
Teleiopsis bagriotella
Teleiopsis diffinis
Teleiopsis latisacculus
Teleiopsis terebinthinella
Thalera fimbrialis
Thaumetopoea solitaria
Thera cognata
Thera cupressata
Thera firmata
Thera variata
Therapis flavicaria
Theretra alecto
Theria rupicapraria
Thisanotia
Tholera decimalis
Tholera hilaris
Thopeutis galleriellus
Thumatha senex
Thyris fenestrella
Tiliacea aurago
Tolliella fulguritella
Tortricodes selma
Tortrix viridana
Trachea atriplicis
Triaxomera parasitella
Trichiura crataegi
Trichodezia haberhaueri
Trichoplusia circumscripta
Triodia amasinus
Triphosa dubitata
Tsaraphycis libanoticella
Tsaraphycis mimeticella
Udea bipunctalis
Udea fulvalis
Udea institalis
Udea languidalis
Udea lutealis
Udea numeralis
Udea rhododendronalis
Ulochlaena hirta
Uresiphita polygonalis
Usgentia vespertalis
V-pug
Valeria oleagina
Vulcaniella cognatella
Vulcaniella fiordalisa
Vulcaniella glaseri
Vulcaniella grabowiella
Vulcaniella pomposella
Wheeleria ivae
Wheeleria phlomidis
Winter moth
Xanthocrambus saxonellus
Xylena exsoleta
Xylena vetusta
Xylocopa valga
Xylocopa violacea
Yponomeuta irrorella
Zelleria hepariella
Zethes insularis
Zeuzera pyrina
Zophodia grossulariella
